Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2013-04-29,682.5,692.3499756,682.5,685.375,555.5244141,3968916,0,0
2013-04-30,684,691,682.5,689.2000122,558.6246948,4020570,0,0
2013-05-02,686.75,719.4000244,686.75,716.9500122,581.1170654,5630326,0,0
2013-05-03,713,723.625,703.9500122,709.25,574.8759155,3641790,0,0
2013-05-06,710,736.2000122,710,733.5999756,594.6124878,3727118,0,0
2013-05-07,733.5499878,739.4249878,728.7000122,735.7999878,596.395874,2260180,0,0
2013-05-08,736,743.9000244,735,740.0499878,599.8404541,1768130,0,0
2013-05-09,741.5999756,751.7249756,741.5,749.2249756,607.2772217,1949700,0,0
2013-05-10,749.2249756,755.4500122,745.5499878,747.9500122,606.2438354,1139714,0,0
2013-05-13,740,740.5,722.8499756,725.7999878,588.2904663,1862498,0,0
2013-05-14,727.5499878,735.2750244,721.875,728.9749756,590.8638916,2250100,0,0
2013-05-15,729.0499878,738.5999756,725,735.7750244,596.3753662,3565926,0,0
2013-05-16,734.5,734.5,723.7249756,727.0250244,589.2832031,2415652,0,0
2013-05-17,727.5,739.25,727.0499878,736.9000244,597.2872925,2900200,0,0
2013-05-20,735.625,739,730.5,736.2000122,596.7201538,1385504,0,0
2013-05-21,732.5,751,732.5,746.4249878,605.0079346,1898432,0,0
2013-05-22,749,754.5750122,746.1500244,749.2000122,607.257019,1846944,0,0
2013-05-23,747.5,763.375,739.1749878,746.3499756,604.9468384,3063962,0,0
2013-05-24,750,751.4749756,731.7999878,734.7750244,595.5650024,1586612,0,0
2013-05-27,734.75,750,730,749,607.0948486,2023864,0,0
2013-05-28,749,758.25,745.1500244,757.0499878,613.619751,1400254,0,0
2013-05-29,758,763.75,742.5499878,748.6749878,606.8314209,1452038,0,0
2013-05-30,750,756,743.5,749.7000122,607.6622925,2408346,0,0
2013-05-31,745.5,754.625,738.375,749.2249756,607.2772217,1929868,0,0
2013-06-03,752,753.5,728.5499878,734.7000122,595.5040894,3097612,0,0
2013-06-04,730,736.9500122,725.0750122,732.6749878,593.8625488,1305320,0,0
